question;expected_reply;text_answering
Qui a fondé l'Empire du Mali et à la suite de quelle bataille ?;Soundiata Keïta a fondé l'Empire du Mali à la suite de la bataille de Kirina contre le royaume de Sosso.;L'empire du Mali, ou Empire mandingue, est un empire ouest-africain médiéval fondé au XIIIe siècle par Soundiata Keïta à la suite de la bataille de Kirina contre le royaume de Sosso.
Quel empereur du Mali a effectué un pèlerinage à La Mecque en 1324 ?;Mansa Moussa a effectué un hajj à La Mecque en 1324.;L'empire connaît son apogée au XIVe siècle sous le règne de Mansa Moussa, dont le hajj à La Mecque en 1324 diffuse la renommée du Mali dans le monde islamique et en Europe.
Quelle religion le Royaume du Kongo a-t-il adopté sous influence portugaise ?;Le Royaume du Kongo a adopté le christianisme sous influence portugaise.;Il fut l'un des premiers États d'Afrique à avoir adopté le christianisme par l'intermédiaire de sa famille royale sous influence portugaise à la fin du XVe - début du XVIe siècle.
Quels sont les deux seuls pays africains à être restés indépendants lors du partage de l'Afrique ?;L'Éthiopie et le Liberia sont les deux seuls pays africains à être restés indépendants lors du partage de l'Afrique.;À la suite de l'occupation britannique de l'Égypte en 1882, l'Éthiopie et le Liberia ont été les deux seuls pays africains à rester indépendants au cours du partage de l'Afrique par les pays européens fin XIXe siècle.
Comment s'appelaient les guerrières du Royaume du Dahomey ?;Les guerrières du Royaume du Dahomey s'appelaient les Amazones ou agojié.;Le royaume du Dahomey a été une puissance régionale importante dotée d'une économie domestique organisée, un commerce international significatif avec les pays européens, une administration centralisée, un système d'impôts et une armée organisée mixte dont la partie féminine, les Amazones (les agojié) est permanente.
Quel est le symbole royal instauré par le roi Osei Tutu dans l'Empire Ashanti ?;Le symbole royal instauré par Osei Tutu est le trône royal Ashanti, aussi appelé siège doré.;À partir de la fin du XVIIe siècle, le roi Ashanti (Asantehene) Osei Tutu et son conseiller Okomfo Anokye instaurent le royaume Ashanti par le symbole du trône royal Ashanti, aussi appelé siège doré.
Qui a fondé le Califat fatimide et avec l'appui de quelle tribu berbère ?;Ubayd Allah al-Mahdi a fondé le Califat fatimide avec l'appui des tribus berbères Ketamas.;Fondé en 909 par Ubayd Allah al-Mahdi avec l'appui des tribus Berbères Ketamas du Maghreb central (Algérie actuelle) acquises au chiisme, il englobe par la suite une grande partie de l'Afrique du Nord, la Sicile et une partie du Moyen-Orient.
Quelle était la capitale de l'Empire du Ghana ?;La capitale de l'Empire du Ghana était Koumbi Saleh.;L'empire du Ghana, également désigné sous le nom d'empire Wagadou, est un État médiéval d'Afrique de l'Ouest dont la fondation pourrait se situer au VIe siècle et s'étendant jusqu'au XIIIe siècle. Il s'affirme en tant qu'empire commercial dont l'influence s'étend depuis sa capitale Koumbi Saleh.
Sur quelle île était centré le Sultanat de Kilwa ?;Le Sultanat de Kilwa était centré sur l'île côtière de Kilwa, aujourd'hui en Tanzanie.;Le sultanat de Kilwa (ou Quiloa) est un ancien sultanat (957c-1513), centré sur l'île côtière de Kilwa (aujourd'hui en Tanzanie) en Afrique de l'Est qui, à son extension maximale, couvrait toute la côte de Zanguebar (ou côte Swahilie).
Sous quel roi le Royaume d'Aksoum a-t-il adopté le christianisme comme religion d'État ?;Le Royaume d'Aksoum a adopté le christianisme comme religion d'État sous le roi Ezana en l'an 330.;En l'an 330, sous Ezana d'Aksum (320-360), le royaume adopte le christianisme comme religion d'État et appose le symbole de la croix chrétienne sur ses pièces de monnaies.
