question;expected_reply;model_reply;reply_similarity;is_correct;chunk_metadata;top_chunk_preview
Qui a fondé l'Empire du Mali et à la suite de quelle bataille ?;Soundiata Keïta a fondé l'Empire du Mali à la suite de la bataille de Kirina contre le royaume de Sosso.;L’empire du Mali a été fondé par **Soundiata Keïta**, à la suite de la **bataille de Kirina** contre le royaume de Sosso.;0.9668;True;Empire du Mali | Afrique de l'Ouest | 1235 - 1600;"[Empire du Mali | Afrique de l'Ouest | 1235 - 1600]
L’empire du Mali, ou Empire mandingue, est un empire ouest-africain médiéval fondé au XIIIe siècle par Soundiata Keïta à la suite de la bataille de ..."
Quel empereur du Mali a effectué un pèlerinage à La Mecque en 1324 ?;Mansa Moussa a effectué un hajj à La Mecque en 1324.;Mansa Moussa;0.5838;False;Empire du Mali | Afrique de l'Ouest | 1235 - 1600;"[Empire du Mali | Afrique de l'Ouest | 1235 - 1600]
L’empire du Mali, ou Empire mandingue, est un empire ouest-africain médiéval fondé au XIIIe siècle par Soundiata Keïta à la suite de la bataille de ..."
Quelle religion le Royaume du Kongo a-t-il adopté sous influence portugaise ?;Le Royaume du Kongo a adopté le christianisme sous influence portugaise.;Le Royaume du Kongo a adopté le christianisme sous l’influence portugaise.;0.9936;True;Royaume du Kongo | Afrique centrale | 853 - 1888;"[Royaume du Kongo | Afrique centrale | 853 - 1888]
Le royaume du Kongo ou royaume du Congo était un royaume mais aussi un empire de l'Afrique centrale, situé dans ce qui est actuellement les territoir..."
Quels sont les deux seuls pays africains à être restés indépendants lors du partage de l'Afrique ?;L'Éthiopie et le Liberia sont les deux seuls pays africains à être restés indépendants lors du partage de l'Afrique.;L’Éthiopie et le Liberia.;0.7946;True;Empire éthiopien | Afrique de l'Est | 1137 - 1974;"[Empire éthiopien | Afrique de l'Est | 1137 - 1974]
ù le nom Abyssinie), principalement composé de Oromos, Amharas et Tigréens, l'Empire éthiopien a réussi à repousser les Arabes et les armées turques..."
Comment s'appelaient les guerrières du Royaume du Dahomey ?;Les guerrières du Royaume du Dahomey s'appelaient les Amazones ou agojié.;Les guerrières du Royaume du Dahomey étaient appelées les **Amazones**, et elles étaient parfois désignées sous le terme **agojié**.;0.888;True;Royaume d'Aksoum | Afrique de l'Est | 50 apr. J.-C. - 937 apr. J.-C.;"[Royaume d'Aksoum | Afrique de l'Est | 50 apr. J.-C. - 937 apr. J.-C.]
 source, et considérée comme le déclin du royaume jusqu'à sa chute au Xe siècle...."
Quel est le symbole royal instauré par le roi Osei Tutu dans l'Empire Ashanti ?;Le symbole royal instauré par Osei Tutu est le trône royal Ashanti, aussi appelé siège doré.;Le symbole royal instauré par le roi Osei Tutu est le **trône royal Ashanti**, aussi appelé le **siège doré**.;0.9563;True;Empire ashanti | Afrique de l'Ouest | 1701 - 1894;"[Empire ashanti | Afrique de l'Ouest | 1701 - 1894]
L'Empire ashanti ou Empire asante (en twi : Asanteman) est un État akan situé dans l'actuel Ghana et ayant existé de 1670 à 1902 puis de 1935 à 1957..."
Qui a fondé le Califat fatimide et avec l'appui de quelle tribu berbère ?;Ubayd Allah al-Mahdi a fondé le Califat fatimide avec l'appui des tribus berbères Ketamas.;Le Califat fatimide a été fondé en 909 par **Ubayd Allah al‑Mahdi**, et il a bénéficié du soutien de la tribu berbère **les Ketamas** (du Maghreb central, aujourd’hui l’Algérie).;0.8994;True;Califat fatimide | Afrique du Nord | 910 - 1171;"[Califat fatimide | Afrique du Nord | 910 - 1171]
Le Califat fatimide était un califat islamique chiite ismaélien, mené par la dynastie des califes fatimides, qui régna depuis l'Ifriqiya (entre 909 et..."
Quelle était la capitale de l'Empire du Ghana ?;La capitale de l'Empire du Ghana était Koumbi Saleh.;Koumbi Saleh.;0.5387;False;Empire du Ghana | Afrique de l'Ouest | 300 apr. J.-C. - 1200 apr. J.-C.;"[Empire du Ghana | Afrique de l'Ouest | 300 apr. J.-C. - 1200 apr. J.-C.]
L’empire du Ghana, également désigné sous le nom d'empire Wagadou, est un État médiéval d'Afrique de l'Ouest dont la fondation..."
Sur quelle île était centré le Sultanat de Kilwa ?;Le Sultanat de Kilwa était centré sur l'île côtière de Kilwa, aujourd'hui en Tanzanie.;L'île de Kilwa (aujourd'hui située sur la côte de la Tanzanie).;0.7661;True;Sultanat de Kilwa | Afrique de l'Est | 960 - 1513;"[Sultanat de Kilwa | Afrique de l'Est | 960 - 1513]
Le sultanat de Kilwa (ou Quiloa) est un ancien sultanat (957c-1513), centré sur l'île côtière de Kilwa (aujourd'hui en Tanzanie) en Afrique de l'Est..."
Sous quel roi le Royaume d'Aksoum a-t-il adopté le christianisme comme religion d'État ?;Le Royaume d'Aksoum a adopté le christianisme comme religion d'État sous le roi Ezana en l'an 330.;Sous le roi **Ezana d’Aksum**.;0.603;False;Royaume d'Aksoum | Afrique de l'Est | 50 apr. J.-C. - 937 apr. J.-C.;"[Royaume d'Aksoum | Afrique de l'Est | 50 apr. J.-C. - 937 apr. J.-C.]
'Éthiopie, Djibouti, la Somalie, une partie du Soudan, de l'Égypte et de l'Arabie du Sud et était décrit par le prophète persan M..."
